dateCreated,hours,sessions,quotes,transactions,sessionConversion,quoteConversion
22/10/2024,8,402,216,26,0.0647,0.1204
22/10/2024,7,210,64,7,0.0333,0.1094
22/10/2024,6,141,33,8,0.0567,0.2424
22/10/2024,5,126,16,3,0.0238,0.1875
22/10/2024,4,121,20,2,0.0165,0.1
22/10/2024,3,125,23,1,0.008,0.0435
22/10/2024,2,985,894,0,0,0
22/10/2024,1,128,31,2,0.0156,0.0645
22/10/2024,0,176,70,7,0.0398,0.1
23/10/2024,23,286,90,10,0.035,0.1111
23/10/2024,22,328,141,10,0.0305,0.0709
23/10/2024,21,381,158,22,0.0577,0.1392
23/10/2024,20,416,166,19,0.0457,0.1145
23/10/2024,19,370,165,24,0.0649,0.1455
23/10/2024,18,422,187,26,0.0616,0.139
23/10/2024,17,466,181,36,0.0773,0.1989
23/10/2024,16,636,295,58,0.0912,0.1966
23/10/2024,15,722,382,72,0.0997,0.1885
23/10/2024,14,1344,1151,66,0.0491,0.0573
23/10/2024,13,654,270,84,0.1284,0.3111
23/10/2024,12,736,374,63,0.0856,0.1684
23/10/2024,11,759,342,82,0.108,0.2398
23/10/2024,10,931,348,75,0.0806,0.2155
23/10/2024,9,597,284,32,0.0536,0.1127
23/10/2024,8,449,238,23,0.0512,0.0966
23/10/2024,7,277,76,11,0.0397,0.1447
23/10/2024,6,204,30,8,0.0392,0.2667
23/10/2024,5,173,23,1,0.0058,0.0435
23/10/2024,4,175,25,0,0,0
23/10/2024,3,164,11,1,0.0061,0.0909
23/10/2024,2,172,12,0,0,0
23/10/2024,1,184,34,1,0.0054,0.0294
23/10/2024,0,139,26,4,0.0288,0.1538
24/10/2024,23,300,75,10,0.0333,0.1333
24/10/2024,22,344,111,20,0.0581,0.1802
24/10/2024,21,484,183,23,0.0475,0.1257
24/10/2024,20,442,190,22,0.0498,0.1158
24/10/2024,19,425,143,18,0.0424,0.1259
24/10/2024,18,400,144,22,0.055,0.1528
24/10/2024,17,493,238,38,0.0771,0.1597
24/10/2024,16,633,254,53,0.0837,0.2087
24/10/2024,15,718,327,52,0.0724,0.159
24/10/2024,14,580,235,44,0.0759,0.1872
24/10/2024,13,672,323,57,0.0848,0.1765
24/10/2024,12,715,308,56,0.0783,0.1818
24/10/2024,11,898,347,85,0.0947,0.245
24/10/2024,10,660,337,61,0.0924,0.181
24/10/2024,9,717,350,51,0.0711,0.1457
24/10/2024,8,397,160,25,0.063,0.1563
